,Host switching rate,Cospeciation rate,Extinction rate,R^2,MAE,MSE
0,0,0,0,0.4785484965363581,0.37530171405524015,1.4437326787591507
1,1,0,0,0.6168780622614507,0.8222059495747089,4.303905637541497
2,2,0,0,0.6509635916539653,1.4301821440458298,13.345348525607534
3,0,1,0,0.6999774367212988,0.8617748618125916,4.41191394956457
4,1,1,0,0.7890151662977383,1.3438902124762535,7.9788433560617085
5,2,1,0,0.8364157217170087,1.897096611559391,16.99174899685268
6,0,2,0,0.7169538704353844,1.074700379744172,6.193749549002583
7,1,2,0,0.7471358263667309,1.4906917642802,11.80692970642523
8,2,2,0,0.795388267861284,2.0922439135611057,22.707369445444613
9,0,0,0.1,0.4641354047316397,0.19218115275725722,0.32106219027377697
10,1,0,0.1,0.5346483252670448,0.39822180569171906,1.213178264687641
11,2,0,0.1,0.6059737200500324,0.6103040943853557,2.4201620388742233
12,0,1,0.1,0.671674738902679,0.6589844152331352,2.47946224726315
13,1,1,0.1,0.7202281206458266,0.9190670773386955,4.042213704510915
14,2,1,0.1,0.7804629821919538,1.2499251440167427,6.752258740426399
15,0,2,0.1,0.7108834719925903,1.0852185329422355,6.108954150403009
16,1,2,0.1,0.7391744582094412,1.408265870064497,11.221159917659387
17,2,2,0.1,0.772039750716108,1.95352653414011,19.48964139379339
18,0,0,0.2,0.45227133778334583,0.21409338316880167,0.387139534750454
19,1,0,0.2,0.5266066992418541,0.4121952820569277,1.072103194211282
20,2,0,0.2,0.5755111303388728,0.6031774315051734,2.307522164625168
21,0,1,0.2,0.6642110045484483,0.674810788128525,2.2476864722720657
22,1,1,0.2,0.7176351141990007,0.9190938156098127,3.7569479460977484
23,2,1,0.2,0.7675647724776891,1.2261818833649158,6.605136759029507
24,0,2,0.2,0.7021522500041752,1.1023781122639775,6.542092788006002
25,1,2,0.2,0.7320185158556689,1.4043008796870708,9.762987472519468
26,2,2,0.2,0.7594640146346268,1.8372912928462029,16.796029830084258
